Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size,computedAHZ
91377,13811,41.7,6641,7170,5158,2.68,2.6775882124854595
91381,20158,36.0,9852,10306,6636,3.04,3.037673297166968
91384,29855,32.5,18503,11352,6925,3.3,4.311191335740072
91387,40328,33.0,20106,20222,12871,3.13,3.133245280087017
91390,19786,40.1,9911,9875,6369,3.07,3.106610142879573
91401,39285,36.0,19613,19672,14380,2.7,2.7319193324061195
91402,69817,30.1,35095,34722,18194,3.81,3.8373639661426844
91403,23484,39.4,11277,12207,11358,2.06,2.0676175382989963
91405,51145,32.6,25498,25647,16256,3.11,3.146222933070866
91406,51558,33.6,25956,25602,17042,3.02,3.025349137425185
91411,24628,33.8,12495,12133,9177,2.63,2.6836656859540153
91423,30991,39.2,14789,16202,14876,2.07,2.08328851841893
91436,14372,46.5,6890,7482,5552,2.57,2.588616714697406
91501,20849,38.3,10040,10809,8235,2.53,2.531754705525197
91502,11371,36.4,5402,5969,5001,2.26,2.27374525094981
91504,24939,38.6,12006,12933,9180,2.69,2.716666666666667
91505,30778,38.9,15121,15657,13180,2.33,2.335204855842185
91506,18904,40.9,9115,9789,7555,2.45,2.502183984116479
91601,37180,32.9,18932,18248,15970,2.32,2.3281152160300564
91602,17473,38.0,8722,8751,9277,1.88,1.8834752613991592
91604,29034,40.2,14271,14763,14292,2.01,2.031486146095718
91605,56343,31.9,28417,27926,15357,3.61,3.6688806407501464
91606,44958,34.3,22376,22582,14903,3.0,3.016708045359995
91607,27927,38.2,13635,14292,12859,2.15,2.1717862975348003
91608,0,0.0,0,0,0,0.0,
91702,59705,29.4,29486,30219,15455,3.67,3.8631510837916534
91706,76571,30.5,37969,38602,17504,4.35,4.374485831809872
91709,74796,36.6,36954,37842,22940,3.25,3.26050566695728
91710,80358,33.0,42283,38075,21952,3.43,3.6606231778425657
91711,35705,38.6,16777,18928,11868,2.58,3.008510279743849
91722,34409,34.0,16859,17550,10079,3.41,3.4139299533683896
91723,18275,35.0,8783,9492,6296,2.86,2.9026365946632784
91724,26184,37.9,12780,13404,8508,3.05,3.077574047954866
91731,29591,32.9,14888,14703,8007,3.66,3.695641313850381
91732,61386,31.4,30755,30631,14700,4.13,4.175918367346939
91733,43896,30.5,22191,21705,9918,4.4,4.425892316999395
91740,25356,38.5,12269,13087,8376,2.94,3.0272206303724927
91741,25824,41.8,12498,13326,9126,2.82,2.829717291255753
91744,85040,30.9,42564,42476,18648,4.55,4.560274560274561
91745,54013,40.1,26287,27726,16188,3.33,3.3366073634791205
91746,30485,32.4,15116,15369,6743,4.5,4.520984724899896
